org_id,pix_specification_id,description,pix_event_payload_id,updated_timestamp,pk,Org Id,Job Queue Status,Request Status,Req Prog Status,Request Id,Request Progress Id,Job Id,Job Queue Created By,Job Queue Created On,Job Queue Last Updated By,Job Queue Last Updated On,Request Created By,Request Created On,Request Last Updated By,Request Last Updated On,Details Created By,Details Created On,Details Last Updated By,Details Last Updated On
NEW,LPN_Level,Initiated,7746423829438276207,2026-03-27 20:13:03.020000,7746423830208324000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
NEW,LPN_Level,Pix specification found,7746423809027914133,2026-03-27 20:13:01.138000,7746423809027939000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
NEW,LPN_Level,Initiated,7746423799117744213,2026-03-27 20:12:59.981000,7746423799817797000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
NEW,LPN_Level,Initiated,7746423791517652403,2026-03-27 20:12:59.226000,7746423792267703000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
NEW,LPN_Level,Initiated,7746264633054993659,2026-03-27 15:47:43.672000,7746264636725049000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7738431021327298671,2026-03-18 14:11:42.288000,7738431021337316000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7738430134766837543,2026-03-18 14:10:20.535000,7738430143866919000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
TRN,CancelASN,Created,7737640309017991209,2026-03-17 16:13:51.105000,7737640309018018000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
TRN,CancelASN,Created,7737640304667901101,2026-03-17 16:13:50.675000,7737640304677922000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
TRN,CancelASN,Created,7737640303007838048,2026-03-17 16:13:50.490000,7737640303017854000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
TRN,CancelASN,Created,7737640300307757973,2026-03-17 16:13:50.287000,7737640300317776000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
TRN,CancelASN,Created,7737638868807596643,2026-03-17 16:11:27.225000,7737638868817619000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7736962654986798353,2026-03-16 21:24:25.834000,7736962655856818000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7736928060049695743,2026-03-16 20:26:46.138000,7736928060049714000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7736926726718333669,2026-03-16 20:24:32.933000,7736926727028352000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7736893775649388159,2026-03-16 19:29:37.779000,7736893775939402000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7736882074584628430,2026-03-16 19:10:08.393000,7736882074584647000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
OAH,IN03PrintRequest,Created,7736826493797276683,2026-03-16 17:37:29.949000,7736826493797294000,ATL,Success,Active,Success,22468,204255,19548,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07,atlwkok,2026-04-14 19:07
