org_id,ORDER,order_type,MAX_STATUS,MIN_STATUS,SHIPMENT,created_timestamp,Org Id,Job Queue Status,Request Status,Req Prog Status,Request Id,Request Progress Id,Job Id,Job Queue Created By,Job Queue Created On,Job Queue Last Updated By,Job Queue Last Updated On,Request Created By,Request Created On,Request Last Updated By,Request Last Updated On,Details Created By,Details Created On,Details Last Updated By,Details Last Updated On
ATL,4351896,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:25.027000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351932,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:25.415000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351933,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:25.591000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351902,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:25.970000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351903,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:26.021000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351931,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:26.142000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4352052,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:26.255000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4352053,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:26.324000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351939,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:26.598000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
ATL,4351917,Standard,1000-Released,1000-Released,507_2022-05-31,2022-05-31 18:28:26.666000,ATL,Success,New,Success,183,182,133,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35,atlwkok,2026-03-26 21:35
